country,confederation,ranking
France,UEFA,1
Spain,UEFA,2
Argentina,CONMEBOL,3
England,UEFA,4
Portugal,UEFA,5
Brazil,CONMEBOL,6
Netherlands,UEFA,7
Morocco,CAF,8
Belgium,UEFA,9
Germany,UEFA,10
Croatia,UEFA,11
Colombia,CONMEBOL,13
Senegal,CAF,14
Mexico,CONCACAF,15
United States,CONCACAF,16
Uruguay,CONMEBOL,17
Japan,AFC,18
Switzerland,UEFA,19
Iran,AFC,21
Austria,UEFA,23
Ecuador,CONMEBOL,24
South Korea,AFC,25
Australia,AFC,26
Egypt,CAF,29
Canada,CONCACAF,30
Ivory Coast,CAF,33
Qatar,AFC,35
Algeria,CAF,36
Sweden,UEFA,39
Tunisia,CAF,40
Czechia,UEFA,41
Türkiye,UEFA,42
Norway,UEFA,44
Scotland,UEFA,47
DR Congo,AFC,51
Bosnia and Herzegovina,UEFA,52
Panama,CONCACAF,53
Saudi Arabia,AFC,57
South Africa,CAF,60
Iraq,AFC,61
Uzbekistan,AFC,62
Paraguay,CONMEBOL,64
Ghana,CAF,65
Jordan,AFC,68
Cape Verde,CAF,70
Curaçao,CONCACAF,81
Haiti,CONCACAF,83
New Zealand,OFC,95
